Id,Label,NodeType
tt15222928,De grote Sinterklaasfilm: Trammelant in Spanje,movie
nm0109847,Norman Briski,writer
tt14732672,9 81,movie
nm0110978,Alexandra Brodsky,writer
tt12862516,Porcupine,movie
nm0111941,David Brooks,writer
tt14810692,Escape from Mogadishu,movie
nm0112321,Luke Brookshier,writer
tt1361336,Tom & Jerry: The Movie,movie
nm0112739,Alex Broun,writer
tt7517418,A Beautiful Request,movie
nm0113105,Betsey Brown,writer
tt12226872,The Scary of Sixty-First,movie
tt15839362,Actors,movie
nm0113640,Gilbert Glenn Brown,writer
tt2452150,Respect,movie
nm0113816,Jeffrey T. Brown,writer
tt14063098,One More Flip,movie
tt14120534,Chedda Boys,movie
nm0116145,James Bruner,writer
tt6704894,Montford: The Chickasaw Rancher,movie
nm0117389,Ryszard Brylski,writer
tt10955020,Death of Zygielboym,movie
nm0117806,Jan Bubenicek,writer
tt3804810,Even Mice Belong in Heaven,movie
nm0118071,Ross Buchanan,writer
tt15435040,In the Morning of La Petite Mort,movie
nm0118374,Joe Buck,writer
tt1361336,Tom & Jerry: The Movie,movie
nm0118564,Laura Buckles,writer
tt1207641,Broken,movie
nm0118767,Paul Bucknor,writer
tt11028100,ROMEO + JULIET 4EVA,movie
tt14590666,Romeo and Juliet 4EVA,movie
nm0118809,Jan Bucquoy,writer
tt11611416,The Last Temptation of the Belgians,movie
nm0120392,Jörg Bundschuh,writer
tt6402468,Blood Red Sky,movie
nm0121235,Sander Burger,writer
tt6851410,The Judgement,movie
nm0122089,Jason Burlage,writer
tt9654370,The Last Norwegian Cowboy,movie
tt4565822,The Middle Kingdom,movie
nm0122403,Lynne Burnett,writer
tt10287908,Spring,movie
nm0122428,Robert Meyer Burnett,writer
tt2084952,Tango Shalom,movie
nm0123398,Yigal Bursztyn,writer
tt15089436,Our Beds Are Burning,movie
nm0125511,Adam Buxton,writer
tt6467266,Sing 2,movie
nm0128540,Kenya Cagle,writer
tt14471254,My King,movie
nm0128687,M. Cahill,writer
tt12862516,Porcupine,movie
nm0132064,Bernard Campan,writer
tt13553662,Beautiful Minds,movie
nm0133081,Gabriel Campisi,writer
tt5805904,More Than Miyagi: The Pat Morita Story,movie
tt13639780,The Chain,movie
nm0134224,Kay Cannon,writer
tt10155932,Cinderella,movie
nm0134234,Martin Cannon,writer
tt6981064,Tollbooth,movie
nm0134545,Paul Canterna,writer
tt11859012,The Girl Who Got Away,movie
nm0134639,Vinicio Canton,writer
tt13894060,They Talk to Me,movie
nm0136021,Leos Carax,writer
tt6217926,Annette,movie
nm0137228,Christian Carion,writer
tt13234058,My Son,movie
nm0137987,Nathan Carlson,writer
tt7991608,Red Notice,movie
nm0139203,Denis Carot,writer
tt10150684,Bigger Than Us,movie
nm0141127,Emmanuel Carrère,writer
tt10088984,Between Two Worlds,movie
nm0141133,Stanislas Carré de Malberg,writer
tt14700948,Friendzone,movie
tt10366460,CODA,movie
nm0142404,Cucha Carvalheiro,writer
tt11621960,Bem Bom,movie
nm0142537,Alexander Carver,writer
tt11166512,40-Love,movie
nm0143403,Daniel Casey,writer
tt5433138,F9: The Fast Saga,movie
nm0143404,Darren Casey,writer
tt4446228,Astro Loco,movie
nm0144459,Rickie Castaneda,writer
tt12330184,R#J,movie
nm0145418,Claudio Castravelli,writer
tt7286976,The Light Touch,movie
nm0145842,Sal Catalano,writer
tt12935940,The Maggie Dixon Story,movie
nm0147270,Marc Cayce,writer
tt8846478,Flint Tale,movie
tt12857724,#BlackSkin,movie
nm0147700,Kevin Cecil,writer
tt7504818,Ron's Gone Wrong,movie
nm0148304,Heath Centazzo,writer
tt11952722,The Star City Murders,movie
nm0148406,Alex Ceppi,writer
tt10934398,Tunnel,movie
nm0148482,Massimiliano Cerchi,writer
tt10730376,The Penthouse,movie
nm0149949,James Chalke,writer
tt11927670,Ace & the Christmas Miracle,movie
nm0152660,John Paul Chapple,writer
tt6044276,End of Term,movie
nm0152680,Alain Chapuis,writer
tt9844322,Kaamelott: First Installment,movie
nm0152911,Dan Chariton,writer
tt11271038,Licorice Pizza,movie
nm0153740,David Chase,writer
tt8110232,The Many Saints of Newark,movie
nm0154833,Tatiana Chekhova,writer
tt11056732,Never and Again,movie
nm0155624,Siu-Keung Cheng,writer
tt14032696,Limbo,movie
nm0155751,Paolo Cherchi Usai,writer
tt15439196,Film the Living Record of our Memory,movie
nm0156873,Anna Chi,writer
tt10413230,The Disappearance of Mrs. Wu,movie
nm0156959,George Chiang,writer
tt15459190,Golden Lotus,movie
nm0156977,Michael Chiang,writer
tt11771642,Career as a Mercenary,movie
nm0157973,Danielle Chinsky,writer
tt12847812,Everything Went Fine,movie
nm0158118,Steffan Chirazi,writer
