Id,Label,NodeType
tt7517418,A Beautiful Request,movie
nm0113105,Betsey Brown,director
tt12226872,The Scary of Sixty-First,movie
tt15839362,Actors,movie
nm0113640,Gilbert Glenn Brown,director
tt2452150,Respect,movie
nm0115113,Ian Brownell,director
tt14030590,On These Grounds,movie
nm0116145,James Bruner,director
tt6704894,Montford: The Chickasaw Rancher,movie
nm0116623,Dominic Brunt,director
tt13540744,Evie,movie
nm0116641,Richard Brunton,director
tt10872600,Spider-Man: No Way Home,movie
nm0117389,Ryszard Brylski,director
tt10955020,Death of Zygielboym,movie
nm0117464,Karen Bryson,director
tt12361974,Zack Snyder's Justice League,movie
nm0117806,Jan Bubenicek,director
tt3804810,Even Mice Belong in Heaven,movie
nm0118249,Tobias Büchner,director
tt9178020,Copilot,movie
nm0118809,Jan Bucquoy,director
tt11611416,The Last Temptation of the Belgians,movie
nm0120392,Jörg Bundschuh,director
tt6402468,Blood Red Sky,movie
nm0121130,Christopher Burgard,director
tt16252560,Capitol Punishment,movie
nm0121235,Sander Burger,director
tt6851410,The Judgement,movie
nm0122089,Jason Burlage,director
tt9654370,The Last Norwegian Cowboy,movie
tt4565822,The Middle Kingdom,movie
nm0122820,Nick Burns,director
tt3758814,The Ice Road,movie
nm0123398,Yigal Bursztyn,director
tt15089436,Our Beds Are Burning,movie
nm0123770,Willie D. Burton,director
tt10872600,Spider-Man: No Way Home,movie
nm0125270,Jonathan Butterell,director
tt8635092,Everybody's Talking About Jamie,movie
nm0125313,Eve Butterly,director
tt11284502,South of Heaven,movie
nm0125511,Adam Buxton,director
tt6467266,Sing 2,movie
nm0128540,Kenya Cagle,director
tt14471254,My King,movie
nm0128687,M. Cahill,director
tt12862516,Porcupine,movie
nm0128745,Emma Cahusac,director
tt14513608,Harm,movie
tt14546488,Lights Up J'ouvert,movie
nm0131653,Kirsty Cameron,director
tt10293406,The Power of the Dog,movie
nm0132064,Bernard Campan,director
tt13553662,Beautiful Minds,movie
nm0133163,Roy Campolongo,director
tt15011630,The Outsider,movie
nm0134234,Martin Cannon,director
tt6981064,Tollbooth,movie
nm0134749,Pavel Cantu,director
tt12978936,Look at Me,movie
nm0134922,Peter Capaldi,director
tt6334354,The Suicide Squad,movie
nm0136021,Leos Carax,director
tt6217926,Annette,movie
nm0136057,Luis Carballar,director
tt6902332,The Marksman,movie
nm0137228,Christian Carion,director
tt13234058,My Son,movie
nm0137530,Michael Douglas Carlin,director
tt14941184,Minnesota! The Modern Day Selma,movie
nm0141127,Emmanuel Carrère,director
tt10088984,Between Two Worlds,movie
nm0141133,Stanislas Carré de Malberg,director
tt14700948,Friendzone,movie
tt10366460,CODA,movie
nm0142537,Alexander Carver,director
tt11166512,40-Love,movie
nm0143403,Daniel Casey,director
tt5433138,F9: The Fast Saga,movie
