Source,Target,Type,Weight,TitleType
nm0219204,tt11935566,Undirected,1,movie
nm0219430,tt7467926,Undirected,1,movie
nm0219465,tt2382320,Undirected,1,movie
nm0220720,tt13717980,Undirected,1,movie
nm0221289,tt14606884,Undirected,1,movie
nm0221613,tt13145186,Undirected,1,movie
nm0222757,tt10366460,Undirected,1,movie
nm0223973,tt14773946,Undirected,1,movie
nm0224995,tt8110232,Undirected,1,movie
nm0225209,tt9599124,Undirected,1,movie
nm0225621,tt10355058,Undirected,1,movie
nm0227987,tt14293136,Undirected,1,movie
nm0229621,tt15203648,Undirected,1,movie
nm0229800,tt13070602,Undirected,1,movie
nm0229801,tt13070602,Undirected,1,movie
nm0229992,tt10565666,Undirected,1,movie
nm0231078,tt13502736,Undirected,1,movie
nm0231078,tt13162334,Undirected,1,movie
nm0231222,tt13886712,Undirected,1,movie
nm0231654,tt6506264,Undirected,1,movie
nm0232746,tt10072662,Undirected,1,movie
nm0233112,tt11892916,Undirected,1,movie
nm0233572,tt9601258,Undirected,1,movie
nm0234367,tt13234764,Undirected,1,movie
nm0234480,tt6506264,Undirected,1,movie
nm0235822,tt7084386,Undirected,1,movie
nm0236729,tt11034276,Undirected,1,movie
nm0237215,tt12769462,Undirected,1,movie
nm0238186,tt13455454,Undirected,1,movie
nm0238691,tt10234010,Undirected,1,movie
nm3519695,tt16422904,Undirected,1,movie
nm0242285,tt14471254,Undirected,1,movie
nm0244327,tt15372106,Undirected,1,movie
nm0244406,tt14363206,Undirected,1,movie
nm0244846,tt15439756,Undirected,1,movie
nm0247542,tt16154594,Undirected,1,movie
nm0247822,tt4725574,Undirected,1,movie
nm1068480,tt15339284,Undirected,1,movie
nm0248654,tt13150622,Undirected,1,movie
nm0249675,tt3986420,Undirected,1,movie
nm12569441,tt2382320,Undirected,1,movie
nm0250070,tt13330106,Undirected,1,movie
nm0252095,tt12337804,Undirected,1,movie
nm0252155,tt10731768,Undirected,1,movie
nm0252936,tt2382320,Undirected,1,movie
nm0253018,tt14371818,Undirected,1,movie
nm0253072,tt14881696,Undirected,1,movie
nm0254872,tt1160419,Undirected,1,movie
nm0254872,tt3480822,Undirected,1,movie
nm0254927,tt7474414,Undirected,1,movie
nm0255520,tt10505316,Undirected,1,movie
nm0258173,tt13875550,Undirected,1,movie
nm0258221,tt8205028,Undirected,1,movie
nm0258792,tt14445728,Undirected,1,movie
nm0258792,tt15036276,Undirected,1,movie
nm0259915,tt14846178,Undirected,1,movie
nm0260348,tt11101622,Undirected,1,movie
nm0261629,tt14449392,Undirected,1,movie
nm0262256,tt14111734,Undirected,1,movie
nm0262381,tt16995044,Undirected,1,movie
nm2920521,tt11125620,Undirected,1,movie
nm0263509,tt15439196,Undirected,1,movie
nm0263543,tt14057828,Undirected,1,movie
nm0263663,tt4829936,Undirected,1,movie
nm0263882,tt2397461,Undirected,1,movie
nm0264525,tt2382320,Undirected,1,movie
nm0264525,tt11127680,Undirected,1,movie
nm0266286,tt13835046,Undirected,1,movie
nm0266357,tt13833722,Undirected,1,movie
nm0266441,tt10430850,Undirected,1,movie
nm0267043,tt14531632,Undirected,1,movie
nm0267624,tt14477752,Undirected,1,movie
nm0267811,tt12717042,Undirected,1,movie
nm0267946,tt14888266,Undirected,1,movie
nm0268403,tt4936034,Undirected,1,movie
nm0269335,tt13243988,Undirected,1,movie
nm0270800,tt13496136,Undirected,1,movie
nm0271599,tt9033292,Undirected,1,movie
nm0272949,tt15415554,Undirected,1,movie
nm7767880,tt7184122,Undirected,1,movie
nm0273919,tt9100054,Undirected,1,movie
nm0274082,tt13841708,Undirected,1,movie
nm0275452,tt13321730,Undirected,1,movie
nm0276282,tt12731980,Undirected,1,movie
nm0276466,tt10505316,Undirected,1,movie
nm0277808,tt14641876,Undirected,1,movie
nm0278747,tt4244994,Undirected,1,movie
nm0279191,tt2398276,Undirected,1,movie
nm0279338,tt10214584,Undirected,1,movie
nm0280222,tt5109280,Undirected,1,movie
nm0280264,tt11083552,Undirected,1,movie
nm0280495,tt9110170,Undirected,1,movie
nm0280843,tt10457168,Undirected,1,movie
nm0281100,tt10477192,Undirected,1,movie
nm0281140,tt8128276,Undirected,1,movie
nm0281592,tt4590256,Undirected,1,movie
nm0282343,tt8906844,Undirected,1,movie
nm0284405,tt10426580,Undirected,1,movie
nm0284405,tt8128276,Undirected,1,movie
nm0284780,tt3228774,Undirected,1,movie
nm0284818,tt6217926,Undirected,1,movie
nm5123157,tt11006566,Undirected,1,movie
nm0285734,tt15450340,Undirected,1,movie
nm0286465,tt14797068,Undirected,1,movie
nm0286677,tt8374772,Undirected,1,movie
nm0288746,tt15524132,Undirected,1,movie
nm0288869,tt14949302,Undirected,1,movie
nm0290049,tt12989910,Undirected,1,movie
nm5310193,tt13119000,Undirected,1,movie
nm0291180,tt9301896,Undirected,1,movie
nm10165615,tt8702244,Undirected,1,movie
nm0294821,tt14072134,Undirected,1,movie
nm0296685,tt7530340,Undirected,1,movie
nm0297662,tt13607498,Undirected,1,movie
nm0298255,tt4372572,Undirected,1,movie
nm0299289,tt12412166,Undirected,1,movie
nm0300067,tt9844322,Undirected,1,movie
nm0300756,tt15337666,Undirected,1,movie
nm0301126,tt14749986,Undirected,1,movie
nm0301842,tt11348542,Undirected,1,movie
nm0302889,tt15145278,Undirected,1,movie
nm0305563,tt10722406,Undirected,1,movie
nm0307479,tt16150584,Undirected,1,movie
nm0307776,tt0293429,Undirected,1,movie
nm0308319,tt15838344,Undirected,1,movie
nm0309348,tt12593218,Undirected,1,movie
nm0309469,tt8847712,Undirected,1,movie
nm0310577,tt13083220,Undirected,1,movie
nm0311431,tt10280296,Undirected,1,movie
nm0311480,tt14967752,Undirected,1,movie
nm0312590,tt11729298,Undirected,1,movie
nm0313652,tt12602994,Undirected,1,movie
nm0313877,tt13071366,Undirected,1,movie
nm0315146,tt14081284,Undirected,1,movie
nm0316306,tt10505316,Undirected,1,movie
nm0316884,tt9620288,Undirected,1,movie
nm0317282,tt11307814,Undirected,1,movie
nm0318886,tt4858404,Undirected,1,movie
nm0319419,tt13977508,Undirected,1,movie
nm0319781,tt13276160,Undirected,1,movie
nm0320326,tt15743808,Undirected,1,movie
nm0320762,tt8847712,Undirected,1,movie
nm0320790,tt15663602,Undirected,1,movie
nm0321104,tt11647104,Undirected,1,movie
nm0321310,tt11012320,Undirected,1,movie
nm0321325,tt12755918,Undirected,1,movie
nm0321945,tt15470118,Undirected,1,movie
nm0323967,tt0293429,Undirected,1,movie
nm0324634,tt14195662,Undirected,1,movie
nm0326247,tt0870154,Undirected,1,movie
nm0326252,tt3758814,Undirected,1,movie
nm0326697,tt10016180,Undirected,1,movie
nm0326792,tt15302058,Undirected,1,movie
nm0327370,tt11299422,Undirected,1,movie
nm0327708,tt3420504,Undirected,1,movie
nm0329144,tt14818550,Undirected,1,movie
nm0329144,tt14785438,Undirected,1,movie
nm0329537,tt3196156,Undirected,1,movie
nm0330356,tt7570684,Undirected,1,movie
nm0331528,tt10661500,Undirected,1,movie
nm0332740,tt10327252,Undirected,1,movie
nm0333279,tt6334354,Undirected,1,movie
nm0333279,tt6566576,Undirected,1,movie
nm0333705,tt13846414,Undirected,1,movie
