Source,Target,Type,Weight,TitleType
nm0200238,tt11034276,Undirected,1,movie
nm0200403,tt5886520,Undirected,1,movie
nm0200459,tt10095582,Undirected,1,movie
nm0200713,tt4972798,Undirected,1,movie
nm0200789,tt1739305,Undirected,1,movie
nm0201390,tt6095026,Undirected,1,movie
nm0202372,tt10505316,Undirected,1,movie
nm0203006,tt15762056,Undirected,1,movie
nm5712232,tt2211174,Undirected,1,movie
nm0203204,tt14416450,Undirected,1,movie
nm1447569,tt1739305,Undirected,1,movie
nm0203778,tt2382320,Undirected,1,movie
nm0204553,tt9163782,Undirected,1,movie
nm8365778,tt9893266,Undirected,1,movie
nm1921272,tt3420504,Undirected,1,movie
nm0205488,tt6857376,Undirected,1,movie
nm7536217,tt0870154,Undirected,1,movie
nm0206635,tt4733624,Undirected,1,movie
nm0209568,tt4511054,Undirected,1,movie
nm0209568,tt9313264,Undirected,1,movie
nm0209586,tt1592253,Undirected,1,movie
nm0209920,tt13315340,Undirected,1,movie
nm0210127,tt11214590,Undirected,1,movie
nm0211060,tt15765494,Undirected,1,movie
nm0211278,tt13136084,Undirected,1,movie
nm0211869,tt12810802,Undirected,1,movie
nm0211920,tt3272066,Undirected,1,movie
nm0213076,tt8847712,Undirected,1,movie
nm0213076,tt3581652,Undirected,1,movie
nm0213339,tt9444800,Undirected,1,movie
nm0213583,tt12752256,Undirected,1,movie
nm0214805,tt12275196,Undirected,1,movie
nm0215833,tt15574218,Undirected,1,movie
nm0215924,tt11906086,Undirected,1,movie
nm0216002,tt12126156,Undirected,1,movie
nm0216466,tt3513522,Undirected,1,movie
nm0217767,tt4244994,Undirected,1,movie
nm0219204,tt11935566,Undirected,1,movie
nm0219766,tt2382320,Undirected,1,movie
nm0220027,tt9376612,Undirected,1,movie
nm0220042,tt4995540,Undirected,1,movie
nm0221126,tt4244994,Undirected,1,movie
nm0221613,tt13145186,Undirected,1,movie
nm0221845,tt13357564,Undirected,1,movie
nm0222215,tt4244994,Undirected,1,movie
nm0223567,tt11559472,Undirected,1,movie
nm0224505,tt9789706,Undirected,1,movie
nm9592610,tt10605812,Undirected,1,movie
nm9592610,tt10975604,Undirected,1,movie
nm0225483,tt9243804,Undirected,1,movie
nm0227589,tt10872600,Undirected,1,movie
nm0228466,tt8736632,Undirected,1,movie
nm0229801,tt13070602,Undirected,1,movie
nm0230690,tt7575952,Undirected,1,movie
nm0231873,tt12877640,Undirected,1,movie
nm0232746,tt10072662,Undirected,1,movie
nm0232765,tt15251112,Undirected,1,movie
nm0233746,tt7097896,Undirected,1,movie
nm0233866,tt14821376,Undirected,1,movie
nm0234068,tt13694438,Undirected,1,movie
nm4181624,tt11096780,Undirected,1,movie
nm0237467,tt6856242,Undirected,1,movie
nm0237487,tt11280826,Undirected,1,movie
nm0238029,tt11286314,Undirected,1,movie
nm0238186,tt13455454,Undirected,1,movie
nm0239281,tt11636880,Undirected,1,movie
nm0239294,tt1160419,Undirected,1,movie
nm0240607,tt16152972,Undirected,1,movie
nm0241182,tt14469906,Undirected,1,movie
nm0241759,tt10696896,Undirected,1,movie
nm0242266,tt10413092,Undirected,1,movie
nm0242285,tt14471254,Undirected,1,movie
nm0242538,tt2363101,Undirected,1,movie
nm0244052,tt13871364,Undirected,1,movie
nm0244327,tt15372106,Undirected,1,movie
nm0244709,tt10696896,Undirected,1,movie
nm0244801,tt13162484,Undirected,1,movie
nm0245249,tt11213372,Undirected,1,movie
nm0245351,tt6402468,Undirected,1,movie
nm0245491,tt11286314,Undirected,1,movie
nm0247754,tt10954652,Undirected,1,movie
nm0248654,tt13150622,Undirected,1,movie
nm0249675,tt3986420,Undirected,1,movie
nm0250958,tt13087796,Undirected,1,movie
nm0252936,tt2382320,Undirected,1,movie
nm0254268,tt10731768,Undirected,1,movie
nm0254712,tt9620288,Undirected,1,movie
nm0254891,tt10375916,Undirected,1,movie
nm0254927,nm9642175,Undirected,1,movie
nm5543408,tt11650226,Undirected,1,movie
nm0255113,tt6802400,Undirected,1,movie
nm0255184,tt14397732,Undirected,1,movie
nm0255184,tt13332286,Undirected,1,movie
