Source,Target,Type,Weight,TitleType
nm8617328,tt10032342,Undirected,1,movie
nm0178078,tt11525644,Undirected,1,movie
nm0178376,tt7740510,Undirected,1,movie
nm0178910,tt8847712,Undirected,1,movie
nm0178932,tt15250412,Undirected,1,movie
nm0179373,tt15378300,Undirected,1,movie
nm0180083,tt4733624,Undirected,1,movie
nm0181074,tt15501116,Undirected,1,movie
nm0181117,tt13321730,Undirected,1,movie
nm0181579,tt15444704,Undirected,1,movie
nm0181650,tt11286314,Undirected,1,movie
nm0182240,tt10573946,Undirected,1,movie
nm0182450,tt12744120,Undirected,1,movie
nm0182499,tt12989910,Undirected,1,movie
nm0183548,tt7069210,Undirected,1,movie
nm0183849,tt8038724,Undirected,1,movie
nm0184078,tt16051820,Undirected,1,movie
nm0184717,tt14849138,Undirected,1,movie
nm0185888,tt5957700,Undirected,1,movie
nm0186695,tt5034838,Undirected,1,movie
nm0186726,tt13892710,Undirected,1,movie
nm0186963,tt14256666,Undirected,1,movie
nm0187912,tt13575806,Undirected,1,movie
nm0188763,tt6949696,Undirected,1,movie
nm0189713,tt15109082,Undirected,1,movie
nm0190208,tt14442522,Undirected,1,movie
nm0190219,tt14668042,Undirected,1,movie
nm0190219,tt14667908,Undirected,1,movie
nm8617078,tt10632226,Undirected,1,movie
nm12671988,tt11459366,Undirected,1,movie
nm0192966,tt6856242,Undirected,1,movie
nm0193108,tt10187208,Undirected,1,movie
nm0193470,tt9639470,Undirected,1,movie
nm0194662,tt14260194,Undirected,1,movie
nm0195064,tt12362248,Undirected,1,movie
nm0196335,tt13557918,Undirected,1,movie
nm0196691,tt10872600,Undirected,1,movie
nm0196836,tt10545704,Undirected,1,movie
nm0200403,tt5886520,Undirected,1,movie
nm0200789,tt1739305,Undirected,1,movie
nm0201304,tt10418662,Undirected,1,movie
nm0201390,tt6095026,Undirected,1,movie
nm0202274,tt9278312,Undirected,1,movie
nm0204049,tt14265992,Undirected,1,movie
nm0205484,tt12078092,Undirected,1,movie
nm0205613,tt9421570,Undirected,1,movie
nm0207435,tt11847758,Undirected,1,movie
nm0207767,tt12680684,Undirected,1,movie
nm0208439,tt12680684,Undirected,1,movie
nm0208818,tt14166050,Undirected,1,movie
nm0209558,tt0011594,Undirected,1,movie
nm0209906,nm4888255,Undirected,1,movie
nm0210320,tt6338498,Undirected,1,movie
nm0210948,tt8415986,Undirected,1,movie
nm0211869,tt12810802,Undirected,1,movie
nm7267056,tt10613176,Undirected,1,movie
nm0213458,tt10370042,Undirected,1,movie
nm0213476,tt15532248,Undirected,1,movie
nm0213529,tt15255738,Undirected,1,movie
nm0213583,tt12752256,Undirected,1,movie
nm0214998,tt14391578,Undirected,1,movie
nm0216133,tt6467266,Undirected,1,movie
nm0216632,tt10095582,Undirected,1,movie
nm0217052,tt14617914,Undirected,1,movie
nm0218455,tt17154674,Undirected,1,movie
nm0218934,tt9437152,Undirected,1,movie
nm0219430,tt7467926,Undirected,1,movie
nm0220720,tt13717980,Undirected,1,movie
nm0221289,tt14606884,Undirected,1,movie
nm0222757,tt10366460,Undirected,1,movie
nm0223335,tt9176086,Undirected,1,movie
nm0225209,tt9599124,Undirected,1,movie
nm0225621,tt10355058,Undirected,1,movie
nm0225679,tt4479380,Undirected,1,movie
nm0227987,tt14293136,Undirected,1,movie
nm0228466,tt8736632,Undirected,1,movie
nm0230599,tt10841088,Undirected,1,movie
nm0231222,tt13886712,Undirected,1,movie
nm0232020,tt16280496,Undirected,1,movie
nm0233572,tt9601258,Undirected,1,movie
nm0233925,tt12133758,Undirected,1,movie
nm0234480,tt6506264,Undirected,1,movie
nm0236729,tt11034276,Undirected,1,movie
nm0237487,tt11280826,Undirected,1,movie
nm0237893,tt11768456,Undirected,1,movie
