Id,Label,NodeType
nm0086292,Kimberly Blair,actress
tt10533804,Let Us In,Movie
nm0087002,Ana Gloria Blanch,actress
tt5154454,Entre Fronteras,Movie
nm0087267,Isabel Blanco,actress
tt11579538,The Replacement,Movie
nm0087757,Denise Blasor,actress
tt13929804,Calle de la Resistencia,Movie
nm0087777,Sarah Blaßkiewitz,actress
tt11006636,Ivie wie Ivie,Movie
nm0087893,Ruth Blauert,actress
tt4103990,12 Theses,Movie
nm0089240,Suzy Bloom,actress
tt11418284,The Art of Love,Movie
nm0089872,Tanya Blumstein,actress
tt10696896,Stillwater,Movie
nm0091060,Johanna Bodor,actress
tt8205028,The Story of My Wife,Movie
nm0091080,Claire Bodson,actress
tt13648232,Mother Schmuckers,Movie
nm0092677,Katie Boland,actress
tt12677948,We're All in This Together,Movie
nm0093081,Icíar Bollaín,actress
tt14077696,Maixabel,Movie
nm0094133,Tânia Bondezan,actress
tt17156788,Eu Sou Mas Eu,Movie
nm0094163,Eugenie Bondurant,actress
tt10037014,Fear of Rain,Movie
tt7069210,The Conjuring: The Devil Made Me Do It,Movie
nm0094751,Caroline Bonmarchand,actress
tt11018038,Dune Dreams,Movie
nm0095561,Mika Boorem,actress
tt8489384,Hollywood.Con,Movie
nm0096051,Waltraut Borchmann,actress
tt15137876,Beckenrand Sheriff,Movie
nm0096544,Alice Borges,actress
tt10573946,There's Something About Mario,Movie
nm0096669,Alessandra Borgia,actress
tt11214590,House of Gucci,Movie
tt10456804,Querido Fidel,Movie
nm0098224,Kathryn Bostic,actress
tt10393074,Amy Tan: Unintended Memoir,Movie
nm0098648,Nancy Frye,actress
tt9139292,Burn It All,Movie
nm0098871,Elsa Bouchain,actress
tt13462472,The Young Lovers,Movie
nm0099036,Stéphanie Boucher,actress
tt14813610,Si proche du soleil,Movie
nm0099382,Fatima Boujou,actress
tt15779170,Al Kanz,Movie
nm0099467,Valia Boulay,actress
tt14068864,Magnetic Beats,Movie
nm0100544,Clémence Boué,actress
tt10366514,Eiffel,Movie
nm0100587,Xanaë Bove,actress
tt14916564,Une Vie Parallèle(s),Movie
nm0101928,Susan Boyd,actress
tt7780024,Emily or Oscar,Movie
nm0102726,Denia Brache,actress
tt3581652,West Side Story,Movie
nm0103710,Peta Brady,actress
tt7575952,Some Happy Day,Movie
nm0103840,Regina Braga,actress
tt9265520,Meu Álbum de Amores,Movie
nm0104309,Joyce Branagh,actress
tt12789558,Belfast,Movie
nm0104471,Jacqueline Brand,actress
tt9777666,The Tomorrow War,Movie
nm0105876,Wendy Braun,actress
tt9217296,Donny's Bar Mitzvah,Movie
nm0105984,Elsie de Brauw,actress
tt13153754,Quicksand,Movie
nm0106107,Nieves Bravo,actress
tt13311066,Echoes,Movie
nm0108733,Emily Bridges,actress
tt10669868,Acting: The First Six Lessons,Movie
nm0108939,Lucy Briers,actress
tt12361974,Zack Snyder's Justice League,Movie
nm0109199,Susan Brightbill,actress
tt9850740,Sold Out,Movie
nm0109328,Ellen Brill,actress
tt4995540,Being the Ricardos,Movie
nm0109756,Tricia Brioux,actress
tt6423956,Carolina's Calling,Movie
nm0111744,Sarah Brooke,actress
tt10962838,The Big Rant,Movie
nm0111816,Michelle Brookhurst,actress
tt8404256,Snake Eyes,Movie
nm0113029,Angel Brown,actress
tt2178993,Clowns,Movie
nm0113105,Betsey Brown,actress
tt12226872,The Scary of Sixty-First,Movie
tt15839362,Actors,Movie
nm0114392,Patricia Brown,actress
tt8192212,Three Corners of Deception,Movie
nm0115410,Alison Bruce,actress
tt10293406,The Power of the Dog,Movie
nm0117464,Karen Bryson,actress
tt12361974,Zack Snyder's Justice League,Movie
nm0117866,Francesca Buccellato,actress
tt7737640,Breaking News in Yuba County,Movie
nm0118564,Laura Buckles,actress
tt1207641,Broken,Movie
nm0119500,Eileen Buggy,actress
tt9243804,The Green Knight,Movie
nm0119754,Elisabeth Bukkehave,actress
tt9170516,The Shadow in My Eye,Movie
nm0119832,Tatyana Bulanova,actress
tt17066696,Shugaley 3,Movie
nm0121413,Danielle Burgio,actress
tt0993840,Army of the Dead,Movie
nm0121530,Gisella Burinato,actress
tt12463560,The Crypt Monster,Movie
nm0122124,Nicole Britton,actress
tt11311754,This Game's Called Murder,Movie
nm0122403,Lynne Burnett,actress
tt10287908,Spring,Movie
nm0122701,Jackie Burns,actress
tt1321510,In the Heights,Movie
nm0123341,Patricia Bursiel,actress
tt11423214,Girl Next,Movie
nm0123362,Anna Burstall,actress
tt9376612,Shang-Chi and the Legend of the Ten Rings,Movie
nm0124689,Joanne Butcher,actress
tt8372638,The Yellow Wallpaper,Movie
tt9129136,Bad Detectives,Movie
nm0124946,Holly Butler,actress
tt12885272,Diana,Movie
nm0125129,Sarah Butler,actress
tt12266988,Call Time,Movie
nm0125285,Fontana Butterfield,actress
tt9024096,Women Is Losers,Movie
nm0125886,Bianca Byington,actress
tt9413078,Jaguar Man,Movie
nm0125961,Brenda Bynum,actress
tt7029534,Things Don't Stay Fixed,Movie
nm0128024,Anne-Charlotte Pontabry,actress
tt7972012,OSS 117: From Africa with Love,Movie
nm0129026,Rose Caiola,actress
tt9357050,Dear Evan Hansen,Movie
nm0129272,Helen Calahasen,actress
tt12717808,Abducted,Movie
nm0130395,Elena Callegari,actress
tt12851564,Comedians,Movie
nm0132023,Casey Camp-Horinek,actress
tt14850172,Asking for It,Movie
nm0132713,Mary Schmidt Campbell,actress
tt13937354,Black Art: In the Absence of Light,Movie
nm0134560,Marie Cantet,actress
tt8847712,The French Dispatch,Movie
nm0134580,Fabiana Cantilo,actress
tt3590964,Existir,Movie
nm0137149,Marie Caries,actress
tt11310670,Madeleine Collins,Movie
nm0137155,Annie Carignan,actress
tt2076822,Chaos Walking,Movie
nm0138516,Siobhan Carmody,actress
tt0993840,Army of the Dead,Movie
nm0139791,Maria Carr,actress
tt13494136,Mission Stories,Movie
nm0140161,Allyn Carrell,actress
tt14174506,Meteor,Movie
nm0141126,Céline Carrère,actress
tt10944760,Titane,Movie
nm0141308,Rachelle Carson-Begley,actress
tt7467926,Barking Mad,Movie
nm0141807,McKinley Carter,actress
tt15771862,Lacy's Christmas Do-Over,Movie
nm0141875,Rachel Carter,actress
tt0499097,Without Remorse,Movie
nm0142404,Cucha Carvalheiro,actress
tt11621960,Bem Bom,Movie
nm0143143,Laine Trzinski,actress
tt10731768,Sweet Girl,Movie
nm0143308,Caterina Caselli,actress
tt10944760,Titane,Movie
nm0145070,Flor Castillo,actress
tt14681908,Enemigos Cercanos,Movie
nm0145666,Patricia Castro,actress
tt12000340,10 Palomas,Movie
nm0146148,Sarah Cathie,actress
tt10293406,The Power of the Dog,Movie
nm0148915,Angela Cerveira,actress
tt15113010,Pathos Ethos Logos,Movie
nm0149367,Kelsey Chace,actress
tt15388610,Zoey's Extraordinary Christmas,Movie
nm0149421,María Chacón,actress
tt14961160,Bankrolled,Movie
nm0149910,Kathleen Chalfant,actress
tt10954652,Old,Movie
nm0150072,Melissa Chalsma,actress
tt15474124,Romeo & Juliet,Movie
nm0150926,Jacqueline Chan,actress
tt3228774,Cruella,Movie
nm0151612,Rebekah Chaney,actress
tt15840228,The Making of 'Rocky vs. Drago',Movie
nm0152420,Judith Chapman,actress
tt9620288,King Richard,Movie
nm0153948,Kim Chastain,actress
tt13576014,Mediator,Movie
nm0154195,Charlotte Chatton,actress
tt8850576,Women of the White Buffalo,Movie
nm0154320,Sarah Chaumette,actress
tt13285394,The Accusation,Movie
nm0154833,Tatiana Chekhova,actress
tt11056732,Never and Again,Movie
nm0155275,Judy Chin,actress
tt3581652,West Side Story,Movie
nm0155298,Lauren Chen,actress
tt16162114,Ghostwriter,Movie
nm0156957,Eigi Kodaka,actress
tt14134604,Mayonaka,Movie
tt11162178,Ouija Japan,Movie
nm0157465,Kika Child,actress
tt11872668,Making the Day,Movie
nm0157796,Tsai Chin,actress
tt9376612,Shang-Chi and the Legend of the Ten Rings,Movie
nm0159786,Haley Christensen,actress
tt9043484,All Sorts,Movie
nm0160590,June Christopher,actress
tt9777666,The Tomorrow War,Movie
nm0161225,Harriet Chung,actress
tt11584538,Dancing Through the Shadow,Movie
tt15459190,Golden Lotus,Movie
nm0163323,Charlotte Clamens,actress
tt14039392,The Love Letter,Movie
nm0165828,Ceci Cleary,actress
tt11166512,40-Love,Movie
nm0166549,Anjanette Clewis,actress
tt11685140,Strix,Movie
nm0166794,Amparo Climent,actress
tt13098282,Las cartas perdidas,Movie
nm0168224,Amanda Kiely,actress
tt12636872,Karen,Movie
nm0169661,Norma Cohen,actress
tt8137454,Paul Dood's Deadly Lunch Break,Movie
nm0171216,Shonnese C.L. Coleman,actress
tt13582496,Radio Theatre for Your Soul - A Docu-Story,Movie
nm0171768,Nancy Collet,actress
tt11691034,Surviving Sex Trafficking,Movie
nm0173119,Janette Colon,actress
tt6802400,Coming 2 America,Movie
nm0173124,Mercedes Colon,actress
tt3811906,Malignant,Movie
nm0173136,Vanessa Colon,actress
tt6802400,Coming 2 America,Movie
nm0173297,Ellen Colton,actress
tt11649338,Black Friday,Movie
nm0173738,Charlotte Comer,actress
tt12361974,Zack Snyder's Justice League,Movie
nm0174398,Joann Condon,actress
tt1893273,The Last Letter from Your Lover,Movie
nm0174819,Michaela Conlin,actress
tt9684220,Bad Trip,Movie
nm0174851,Mary Conlon,actress
tt7996036,The Mother the Son the Rat and the Gun,Movie
nm0175017,Melissa Connell,actress
tt13983776,Dark State,Movie
nm0175202,Daryle Conners,actress
tt3513522,Potato Dreams of America,Movie
nm0175932,Pascale Consigny,actress
tt13142240,Anaïs in Love,Movie
nm0176518,Laura Contreras,actress
tt14774692,Future Shock,Movie
nm0176721,Kathleen Conway,actress
tt13145700,Beauty World,Movie
nm0178868,Adrienne Stout,actress
tt6641582,Torch,Movie
nm0179009,Elisabetta Coraini,actress
tt10960102,E noi come stronzi rimanemmo a guardare,Movie
nm0179151,Gretchen Corbett,actress
tt11003218,Pig,Movie
nm0179454,Claire Cordell,actress
tt10342914,Lair,Movie
nm0181117,Catherine Corsini,actress
tt13321730,The Divide,Movie
nm0181910,Soraya Cosme,actress
tt5280052,Simone,Movie
nm0185888,Janet Craig,actress
tt5957700,Raise Your Hand,Movie
nm0186726,Christina Crawford,actress
tt13892710,A Fandemic: 50 Fans Celebrate 50 Years of Cinema,Movie
nm0186899,Melissa Crawford,actress
tt7638556,Come from Away,Movie
nm0186963,Stacia Crawford,actress
tt14256666,Girls Getaway Gone Wrong,Movie
nm0188730,Skylar Cronenweth,actress
tt4995540,Being the Ricardos,Movie
nm0188763,Jamie Cronin,actress
tt6949696,The Haunted Man,Movie
nm0188780,Maggie Cronin,actress
tt8545482,Zone 414,Movie
nm0189562,Sarah Crowden,actress
tt3228774,Cruella,Movie
nm0189713,Carrie Crowley,actress
tt15109082,The Quiet Girl,Movie
nm0190502,Ángeles Cruz,actress
tt10632226,Nudo mixteco,Movie
nm0192451,Stacy Cunningham,actress
tt7029534,Things Don't Stay Fixed,Movie
nm0192852,Lynette Curran,actress
tt9376612,Shang-Chi and the Legend of the Ten Rings,Movie
nm0193876,Elizabeth Cuthrell,actress
tt15047244,The Same Storm,Movie
nm0193879,Willa Cuthrell,actress
tt15047244,The Same Storm,Movie
nm0194099,Ana Cuéllar,actress
tt15334340,Torcidos,Movie
nm0194271,Suzanne Cyr,actress
tt9568230,Night Raiders,Movie
nm0194662,Clémentine Célarié,actress
tt14260194,Pierre & Jeanne,Movie
nm0195056,Biancamaria D'Amato,actress
tt16044704,Santa Lucia,Movie
nm0196251,Janelle Da Silva,actress
tt15399312,Love Rewind,Movie
nm0196803,Samantha Dagnino,actress
tt7513844,A Nomad River,Movie
nm0197653,Caroline Dale,actress
tt2382320,No Time to Die,Movie
nm0198201,Ann Dalrymple,actress
tt6149768,One Month Out,Movie
nm0198298,Jill Dalton,actress
tt10962368,Things Heard & Seen,Movie
nm0198489,Nancy Daly,actress
tt10095582,The Tragedy of Macbeth,Movie
nm0199546,Sandra Dani,actress
tt14664312,Verona,Movie
nm0200238,Ljiljana Cincar-Danilovic,actress
tt11034276,Heavens Above,Movie
nm0200403,Michelle Danner,actress
tt5886520,The Runner,Movie
nm0200459,Emma Danoff,actress
tt10095582,The Tragedy of Macbeth,Movie
nm0200713,Ania Danylo,actress
tt4972798,Supposition,Movie
nm0200789,Catherine Dao,actress
tt1739305,Symphoria,Movie
nm0201390,Meredith Darling,actress
tt6095026,The Juju Gum Conspiracy,Movie
nm0202372,Capucine Daumas,actress
tt10505316,Lost Illusions,Movie
nm0203006,Maï David,actress
tt8961752,Le dernier acte,Movie
nm0203067,Sheela Sharma,actress
tt2211174,Ammaa Ki Boli,Movie
nm0203204,Louise Davidsen,actress
